BOAT 663381 224128 0 0 14000 10 4 30 255 153 153 "Bjarni Sæmundsson"
STAT 619 3 0 661364 194556 661497 193630 135 21  #  Veiðarfæri var netadræsa \\ botndypi_kastad= 190 botndypi_hift= 198 \\
STAT 619 1 0 662296 194633 661900 194701 387 21  #   \\ botndypi_kastad= 189 botndypi_hift= 190 \\
STAT 620 11 0 661717 195968 661318 195997 647 17  #   \\ botndypi_kastad= 135 botndypi_hift= 139 \\
STAT 620 12 0 662432 202039 662042 201828 459 17  #   \\ botndypi_kastad= 166 botndypi_hift= 102 \\
STAT 620 1 0 661508 203878 661110 203811 189 21  #   \\ botndypi_kastad= 185 botndypi_hift= 220 \\
STAT 570 11 0 655920 204467 655541 204773 221 15  #   \\ botndypi_kastad= 117 botndypi_hift= 97 \\
STAT 570 2 0 655878 203580 655510 203207 134 16  #  Mjög mikill krossfiskur \\ botndypi_kastad= 137 botndypi_hift= 128 \\
STAT 570 1 0 654852 203326 654465 203120 92 14  #  Slatti af krossfisk \\ botndypi_kastad= 115 botndypi_hift= 73 \\
STAT 571 11 0 653693 210141 653507 210318 57 14  #  Mjög mikill þari \\ botndypi_kastad= 107 botndypi_hift= 115 \\
STAT 521 36 0 652642 210118 652449 210006 38 12  #  Gúmmídrasl var dekk \\ botndypi_kastad= 80 botndypi_hift= 72 \\
STAT 521 35 0 652364 210868 652594 210831 13 10  #  Allskonar þari \\ botndypi_kastad= 52 botndypi_hift= 72 \\
STAT 571 35 0 653987 212245 653991 212072 287 18  #   \\ botndypi_kastad= 151 botndypi_hift= 147 \\
STAT 571 1 0 655725 205884 655464 210619 413 20  #   \\ botndypi_kastad= 168 botndypi_hift= 230 \\
STAT 621 13 0 660480 211420 660876 211484 486 13  #   \\ botndypi_kastad= 96 botndypi_hift= 88 \\
STAT 621 12 0 661693 211696 661534 211271 164 14  #   \\ botndypi_kastad= 98 botndypi_hift= 135 \\
STAT 621 11 0 661997 210296 661600 210308 368 18  #   \\ botndypi_kastad= 148 botndypi_hift= 174 \\
STAT 620 2 0 662473 204809 662870 204808 84 20  #   \\ botndypi_kastad= 178 botndypi_hift= 186 \\
